time,x,y,vx,vy,omega,linear_velocity,goal_status,attempt_id,goal_x,goal_y,goal_reached_count,collision_count,min_scan_range,plan_update_count,last_plan_update_time
92.292,0.008416781443485382,-0.005913685841324494,-5.871632164965113e-05,9.36692680705465e-06,-0.0014339485788604008,5.9458773497895236e-05,IDLE,0,nan,nan,0,0,0.6884348392486572,0,nan
92.332,0.008417130589143505,-0.00591163436213721,-5.853640626725748e-05,9.351400458701582e-06,-0.0014297117877338948,5.927866015038148e-05,IDLE,0,nan,nan,0,0,0.6884348392486572,0,nan
92.357,0.00841746899312236,-0.005909648983009022,-5.835998532592051e-05,9.336964394819938e-06,-0.0014256212976678552,5.910217247573724e-05,IDLE,0,nan,nan,0,0,0.6974852085113525,0,nan
92.392,0.008417806901482826,-0.005907669257955737,-5.818752401815034e-05,9.324576800983965e-06,-0.0014215323248021553,5.892992180446425e-05,IDLE,0,nan,nan,0,0,0.6974852085113525,0,nan
92.417,0.008418154560698414,-0.005905635418897549,-5.800664500674122e-05,9.315044567818164e-06,-0.0014173400053268926,5.874981634216855e-05,IDLE,0,nan,nan,0,0,0.6974852085113525,0,nan
92.459,0.008418491526268048,-0.005903667136253468,-5.783442550991929e-05,9.305298550424242e-06,-0.0014132761058925404,5.857823277613392e-05,IDLE,0,nan,nan,0,0,0.6974852085113525,0,nan
92.493,0.008418828027804496,-0.005901704435437703,-5.7660597780446996e-05,9.295352208821883e-06,-0.0014092149540652192,5.84050349634733e-05,IDLE,0,nan,nan,0,0,0.6974852085113525,0,nan
92.526,0.008419174242564872,-0.005899688154120532,-5.7480814198006744e-05,9.28545548675106e-06,-0.0014050598393084898,5.8225970876080796e-05,IDLE,0,nan,nan,0,0,0.6974852085113525,0,nan
92.56,0.008419509814942484,-0.005897736897344792,-5.730882516323926e-05,9.275448651513053e-06,-0.0014010321534426403,5.805458973481408e-05,IDLE,0,nan,nan,0,0,0.7045249342918396,0,nan
92.593,0.00841984493492091,-0.005895791156999568,-5.713815978995824e-05,9.265613533673895e-06,-0.0013970067775899294,5.788454801013999e-05,IDLE,0,nan,nan,0,0,0.7045249342918396,0,nan
